CAISNID,CAL,TPL,SIO3L,DOCL,PH,INVERT,DEPTHL,AREAL,BythoDens,MaxTL,LAKE,SAMPLE DATE,LATITUDE,LONGITUDE
06-027,0.645422269,0.662757832,-0.795880017,0.568201724,6.37,0,1.380211242,1.980073815,0.001830614,4.29,Portage Lake,9-Aug-10,451300,794800
06-028,0.494154594,0.602059991,-1,0.431363764,7.12,3,1.222716471,1.965845877,0.000228625,3.56,Dyson Lake,26-Jul-10,451300,793900
06-029,0.883093359,1.086359831,-0.15490196,0.986771734,6.59,3,0.716003344,1.07746236,0,0,McTaggart Lake,2-Aug-10,452200,785100
06-030,0.434568904,1.025305865,-0.119186408,0.968482949,5.68,3,0.886490725,1.570279,0,3.67,Hamer Lake,2-Aug-10,451400,794730
06-031,0.477121255,0.477121255,-1,0.544068044,6.6,0,1.195899652,1.785180682,0,4.47,High Lake,1-Aug-10,451400,793000
06-033,0.397940009,0.477121255,-0.698970004,0.591064607,6.26,1,1.411619706,1.596989447,0,4.29,Buck Lake (2),12-Aug-10,452300,790000
06-034,0.819543936,1.255272505,-0.356547324,0.875061263,7.25,1,0.491361694,1.506554473,0,3.67,Penfold Lake,21-Jun-10,451600,791700
06-036,0.230448921,0.792391689,-0.045757491,0.579783597,7.12,0,1.322219295,2.098675746,0.005841312,4.07,Otter Lake (1),9-Jun-10,451600,785300
06-037,0.505149978,0.86923172,0.187520721,0.792391689,6.55,2,0.977723605,1.273745353,0,3.67,Gosling Lake,20-Jun-10,451700,785600
06-038,0.260071388,0.556302501,-0.853871964,0.505149978,6.84,0,1.33243846,2.136431364,0.001588288,4.29,Clinto (Hardwood) Lake,14-Jun-10,451900,785200
06-039,0.354108439,1.31386722,-0.065501549,0.612783857,6.34,1,0.612783857,0.943524151,0,3.31,Wilbur Lake,20-Jun-10,452000,785500
06-040,0.471291711,0.819543936,-0.096910013,0.662757832,6.82,3,1.255272505,1.754279537,0,4.29,McFadden Lake,16-Jun-10,452000,785100
06-041,0.372912003,0.414973348,0.152288344,0.672097858,6.37,1,1.436162647,2.356658815,0,4.29,Oxtongue Lake,20-Jun-10,452200,785500
06-042,0.357934847,0.963787827,0.093421685,0.633468456,6.8,6,1.041392685,1.354653886,0,3.67,Cooper Lake,20-Jun-10,452100,790000
06-045,0.369215857,0.698970004,-0.086186148,0.662757832,6.12,0,1.416640507,2.425338189,0,4.29,Fletcher Lake,17-Aug-10,452100,784700
06-046,0.357934847,0.643452676,-0.045757491,0.662757832,5.34,1,1.103803721,1.870383389,0,4.29,Sixteen Mile Lake,10-Aug-10,452200,785800
06-047,0.418301291,0.73239376,0.204119983,0.826074803,7.17,2,1.11058971,1.46101737,0,3.31,Poorhouse Lake,17-Jun-10,452200,784500
06-048,0.342422681,1.152288344,0.017033339,0.982271233,6.31,3,0.826074803,1.308519123,0,3.31,Bloody Lake,17-Aug-10,452200,784600
06-049,0.485721426,0.963787827,-0.22184875,0.602059991,7.2,5,1.225309282,1.837235753,0,3.67,Walker Lake,22-Jun-10,452400,790500
06-050,0.365487985,0.698970004,-0.096910013,0.69019608,5.35,0,1.079181246,1.234377783,0,3.67,Seventeen Mile Lake,10-Aug-10,452200,785800
06-051,0.365487985,0.62324929,-0.045757491,0.69019608,5.31,2,1.324282455,1.521222003,0,4.29,Eighteen Mile Lake,10-Aug-10,452300,785800
06-052,0.372912003,0.477121255,-0.397940009,0.612783857,6.21,0,1.307496038,1.298651629,0,4.29,Hardup (Poverty) Lake,12-Aug-10,452400,785900
06-053,0.357934847,0.963787827,0.071882007,0.949390007,6.1,0,1.071882007,2.172966948,0,3.67,Fox Lake,19-Jul-10,452200,792100
06-054,0.350248018,-0.22184875,0.049218023,0.397940009,6.76,6,1.607455023,1.506153748,0,4.29,Louie Lake,1-Jul-10,452300,784400
06-055,0.376576957,0.716003344,-1,0.462397998,6.54,5,1.463892989,2.055925223,0,4.29,Solitaire Lake,29-Jul-10,452200,790000
06-056,0.471291711,0.84509804,-0.13076828,0.556302501,7.07,2,1.380211242,1.292065366,0,3.67,Little Clear Lake,19-Jul-10,452400,790000
06-057,0.342422681,0.698970004,-0.142667504,0.707570176,6.05,7,1.041392685,2.00885666,0,3.31,Troutspawn Lake,5-Aug-10,452400,784500
06-059,0.357934847,0.62324929,-0.301029996,0.69019608,6.2,0,0.929418926,1.027099779,0,3.56,Crotch Lake,12-Aug-10,452300,785800
06-060,0.342422681,1.041392685,0.041392685,0.963787827,6.31,3,1.390935107,2.398655125,0,4.29,Buck Lake (1),15-Jul-10,452500,792300
06-061,0.240549248,0.763427994,-0.657577319,0.681241237,5.97,1,1.350248018,1.964893415,0,3.67,Wolf Lake,15-Aug-10,452600,784200
06-064,0.086359831,0.643452676,-0.22184875,0.662757832,5.58,4,1.187520721,2.285161195,0,3.67,Round Lake,10-Aug-09,452800,792400
06-065,0.301029996,0.963787827,0.158362492,0.72427587,6.72,0,1.437750563,2.182465428,0.00311174,4.29,Dotty Lake,24-Jun-10,452800,790000
06-066,0.35793485,0.98227123,-0.853872,0.462398,7.01,6,1.21748394,1.44903307,0,3.67,North Dotty Lake,24-Jun-10,452900,790000
06-081,0.28780173,0.77815125,-0.045757491,0.785329835,5.85,1,1.389166084,1.531956801,0,3.67,Chub Lake,8-Jul-10,451800,791400
